error_code,error_no,error_type,form_name,packet,var_name,check_type,test_name,short_desc,full_desc,test_logic,comp_forms,comp_vars,do_in_redcap,in_prev_versions,questions
b4l-lbdivp-m-001,001,Error,b4l,IL,FRMDATEB4L,Missingness,FRMDATEB4L must be present,FRMDATEB4L cannot be blank,Q0a. FRMDATEB4L (B4L form date) cannot be blank ,If FRMDATEB4L = blank,,,,,
b4l-lbdivp-c-002,002,Error,b4l,IL,FRMDATEB4L,Conformity,FRMDATEB4L conforms,FRMDATEB4L must be a date,Q0a. FRMDATEB4L (B4L form date) must be a date formatted mm/dd/yyyy or yyyy/mm/dd,If FRMDATEB4L is not mm/dd/yyyy or yyyy/mm/dd,,,,,
b4l-lbdivp-m-003,003,Error,b4l,IL,LBDELUS,Missingness,LBDELUS must be present,LBDELUS cannot be blank,Q1. LBDELUS (Participant has beliefs that you know are not true) cannot be blank,IF LBDELUS = blank,,,,,
b4l-lbdivp-c-004,004,Error,b4l,IL,LBDELUS,Conformity,LBDELUS conforms,LBDELUS must be an integer between 0-1 or 8,Q1. LBDELUS (Participant has beliefs that you know are not true) must be an integer between 0-1 or 8,IF LBDELUS < 0 or (LBDELUS > 1 and not = 8),,,,,
b4l-lbdivp-m-005,005,Error,b4l,IL,LBDHURT,Missingness,LBDHURT conditionally present,"If LBDELUS = 1, then LBDHURT cannot be blank","Q1. LBDELUS (Participant has beliefs that you know are not true) = 1 (Yes), then Q1a. LBDHURT (participant believe that he/she is in danger) cannot be blank",IF LBDELUS = 1 and LBDHURT = blank,,"LBDELUS, LBDHURT",,,
b4l-lbdivp-m-006,006,Error,b4l,IL,LBDHURT,Missingness,LBDHURT conditionally blank,"If LBDELUS not = 1, then LBDHURT must be blank","Q1. LBDELUS (Participant has beliefs that you know are not true) not = 1 (No or Not applicable), then Q1a. LBDHURT (participant believe that he/she is in danger) must be blank",IF LBDELUS not = 1 and LBDHURT is not blank,,"LBDELUS, LBDHURT",,,
b4l-lbdivp-c-007,007,Error,b4l,IL,LBDHURT,Conformity,LBDHURT conforms,LBDHURT must be an integer between 0-1,Q1a. LBDHURT (participant believe that he/she is in danger) must be an integer between 0-1,IF LBDHURT < 0 or LBDHURT > 1,,,,,
b4l-lbdivp-m-008,008,Error,b4l,IL,LBDSTEAL,Missingness,LBDSTEAL conditionally present,"If LBDELUS = 1, then LBDSTEAL cannot be blank","Q1. LBDELUS (Participant has beliefs that you know are not true) = 1 (Yes), then Q1b. LBDSTEAL (participant believe that others are stealing from him/her) cannot be blank",IF LBDELUS = 1 and LBDSTEAL = blank,,"LBDELUS, LBDSTEAL",,,
b4l-lbdivp-m-009,009,Error,b4l,IL,LBDSTEAL,Missingness,LBDSTEAL conditionally blank,"If LBDELUS not = 1, then LBDSTEAL must be blank","Q1. LBDELUS (Participant has beliefs that you know are not true) not = 1 (No or Not applicable), then Q1b. LBDSTEAL (participant believe that others are stealing from him/her) must be blank",IF LBDELUS not = 1 and LBDSTEAL is not blank,,"LBDELUS, LBDSTEAL",,,
b4l-lbdivp-c-010,010,Error,b4l,IL,LBDSTEAL,Conformity,LBDSTEAL conforms,LBDSTEAL must be an integer between 0-1,Q1b. LBDSTEAL (participant believe that others are stealing from him/her) must be an integer between 0-1,IF LBDSTEAL < 0 or LBDSTEAL > 1,,,,,
b4l-lbdivp-m-011,011,Error,b4l,IL,LBDAFFR,Missingness,LBDAFFR conditionally present,"If LBDELUS = 1, then LBDAFFR cannot be blank","Q1. LBDELUS (Participant has beliefs that you know are not true) = 1 (Yes), then Q1c. LBDAFFR (Participant believes in affair) cannot be blank",IF LBDELUS = 1 and LBDAFFR = blank,,"LBDELUS, LBDAFFR",,,
